name,normal_price,special_price,url
Authentic asMODus Minikin Reborn 168W TC Box Mod - Royal Blue,$26.28 ,$23.24,https://www.cigabuy.com/authentic-asmodus-minikin-reborn-168w-tc-box-mod-royal-blue-p-11213.html
1.4 inch Immunity Monitor Fitness Tracker Waterproof Smart Watch,$20.43 ,$14.59,https://www.cigabuy.com/14-inch-immunity-monitor-fitness-tracker-waterproof-smart-watch-p-19465.html
Send Money for Special Payments -Different Fees as Description,,,https://www.cigabuy.com/send-money-for-special-payments-different-fees-as-description-p-2874.html
H50 Smart Watch Blood Pressure Heart Rate Monitor IP67 Waterproof Bracelet,$20.43 ,$13.52,https://www.cigabuy.com/h50-smart-watch-blood-pressure-heart-rate-monitor-ip67-waterproof-bracelet-p-19464.html
Printed Yoga Pants Women Sport Leggings Tight Trouser Pencil Sport,$16.80 ,$3.95,https://www.cigabuy.com/printed-yoga-pants-women-sport-leggings-tight-trouser-pencil-sport-p-19618.html
Authentic DEJAVU DJV D7 180W Touch Screen Box Mod - Army Green,,,https://www.cigabuy.com/authentic-dejavu-djv-d7-180w-touch-screen-box-mod-army-green-p-14391.html
Authentic asMODus Minikin Reborn 168W TC Box Mod - Silver,,,https://www.cigabuy.com/authentic-asmodus-minikin-reborn-168w-tc-box-mod-silver-p-11211.html
$49.99 Cigabuy E-Cigarette Lucky Box,,,https://www.cigabuy.com/4999-cigabuy-e-cigarette-lucky-box-p-10780.html
Authentic Vaporesso Target Mini II 2000mAh 50W TC Box Mod - Silver,$32.25 ,$12.67,https://www.cigabuy.com/authentic-vaporesso-target-mini-ii-2000mah-50w-tc-box-mod-silver-p-15516.html
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Silver,$22.00 ,$7.28,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-silver-p-9927.html
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,$19.98 ,$5.65,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html
$29.99 Cigabuy E-Cigarette Lucky Box,,,https://www.cigabuy.com/2999-cigabuy-e-cigarette-lucky-box-p-10779.html
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,$21.39 ,$8.97,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,$5.57 ,$2.16,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,$21.39 ,$8.20,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html
Authentic Wismec Luxotic MF 100W Box Mod W/O Screen - Black,$10.72 ,$6.19,https://www.cigabuy.com/authentic-wismec-luxotic-mf-100w-box-mod-wo-screen-black-p-12863.html
