title,release_data,duration,genre,rating,movie_url
Seven Samurai ,Adventure,"3h 27min",Action,8.6,https://www.imdb.com/title/tt0047478/
The Prestige ,Mystery,"2h 10min",Drama,8.5,https://www.imdb.com/title/tt0482571/
Whiplash ,Music,"1h 46min",Drama,8.5,https://www.imdb.com/title/tt2582802/
The Departed ,Drama,"2h 31min",Crime,8.5,https://www.imdb.com/title/tt0407887/
Joker ,Drama,"2h 2min",Crime,8.5,https://www.imdb.com/title/tt7286456/
The Shawshank Redemption ,"14 October 1994 (USA)","2h 22min",Drama,9.3,https://www.imdb.com/title/tt0111161/
Se7en ,Drama,"2h 7min",Crime,8.6,https://www.imdb.com/title/tt0114369/
Life Is Beautiful ,Drama,"1h 56min",Comedy,8.6,https://www.imdb.com/title/tt0118799/
The Silence of the Lambs ,Drama,"1h 58min",Crime,8.6,https://www.imdb.com/title/tt0102926/
Hara-Kiri ,Drama,"2h 13min",Action,8.6,https://www.imdb.com/title/tt0056058/
The Lives of Others ,Mystery,"2h 17min",Drama,8.4,https://www.imdb.com/title/tt0405094/
City of God ,Drama,"2h 10min",Crime,8.6,https://www.imdb.com/title/tt0317248/
Saving Private Ryan ,War,"2h 49min",Drama,8.6,https://www.imdb.com/title/tt0120815/
Como Estrelas na Terra ,Family,"2h 45min",Drama,8.4,https://www.imdb.com/title/tt0986264/
Interstellar ,Drama,"2h 49min",Adventure,8.6,https://www.imdb.com/title/tt0816692/
The Green Mile ,Drama,"3h 9min",Crime,8.6,https://www.imdb.com/title/tt0120689/
It's a Wonderful Life ,Family,"2h 10min",Drama,8.6,https://www.imdb.com/title/tt0038650/
Dangal ,Biography,"2h 41min",Action,8.4,https://www.imdb.com/title/tt5074352/
Django Unchained ,Western,"2h 45min",Drama,8.4,https://www.imdb.com/title/tt1853728/
City Lights ,Drama,"1h 27min",Comedy,8.5,https://www.imdb.com/title/tt0021749/
Vikram Vedha ,Crime,"2h 27min",Action,8.4,https://www.imdb.com/title/tt6148156/
3 Idiots ,Drama,"2h 50min",Comedy,8.4,https://www.imdb.com/title/tt1187043/
Capernaum ,"20 September 2018 (Lebanon)","2h 6min",Drama,8.4,https://www.imdb.com/title/tt8267604/
Modern Times ,Drama,"1h 27min",Comedy,8.5,https://www.imdb.com/title/tt0027977/
Your Name. ,Drama,"1h 46min",Animation,8.4,https://www.imdb.com/title/tt5311514/
Cinema Paradiso ,Romance,"2h 35min",Drama,8.5,https://www.imdb.com/title/tt0095765/
Grave of the Fireflies ,Drama,"1h 29min",Animation,8.5,https://www.imdb.com/title/tt0095327/
Casablanca ,Romance,"1h 42min",Drama,8.5,https://www.imdb.com/title/tt0034583/
Avengers: Endgame ,Adventure,"3h 1min",Action,8.4,https://www.imdb.com/title/tt4154796/
Léon: The Professional ,Crime,"1h 50min",Action,8.5,https://www.imdb.com/title/tt0110413/
The Lion King ,Adventure,"1h 28min",Animation,8.5,https://www.imdb.com/title/tt0110357/
The Pianist ,Drama,"2h 30min",Biography,8.5,https://www.imdb.com/title/tt0253474/
American History X ,"20 November 1998 (USA)","1h 59min",Drama,8.5,https://www.imdb.com/title/tt0120586/
Hamilton ,Drama,"2h 40min",Biography,8.6,https://www.imdb.com/title/tt8503618/
Parasite ,Drama,"2h 12min",Comedy,8.6,https://www.imdb.com/title/tt6751668/
Gladiator ,Adventure,"2h 35min",Action,8.5,https://www.imdb.com/title/tt0172495/
Goodfellas ,Crime,"2h 26min",Biography,8.7,https://www.imdb.com/title/tt0099685/
The Lord of the Rings: The Two Towers ,Adventure,"2h 59min",Action,8.7,https://www.imdb.com/title/tt0167261/
Forrest Gump ,Romance,"2h 22min",Drama,8.8,https://www.imdb.com/title/tt0109830/
One Flew Over the Cuckoo's Nest ,"19 November 1975 (USA)","2h 13min",Drama,8.7,https://www.imdb.com/title/tt0073486/
Schindler's List ,Drama,"3h 15min",Biography,8.9,https://www.imdb.com/title/tt0108052/
12 Angry Men ,Drama,"1h 36min",Crime,9.0,https://www.imdb.com/title/tt0050083/
Pulp Fiction ,Drama,"2h 34min",Crime,8.9,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring ,Adventure,"2h 58min",Action,8.8,https://www.imdb.com/title/tt0120737/
The Lord of the Rings: The Return of the King ,Adventure,"3h 21min",Action,8.9,https://www.imdb.com/title/tt0167260/
The Godfather: Part II ,Drama,"3h 22min",Crime,9.0,https://www.imdb.com/title/tt0071562/
Fight Club ,"15 October 1999 (USA)","2h 19min",Drama,8.8,https://www.imdb.com/title/tt0137523/
The Dark Knight ,Crime,"2h 32min",Action,9.0,https://www.imdb.com/title/tt0468569/
The Godfather ,Drama,"2h 55min",Crime,9.2,https://www.imdb.com/title/tt0068646/
The Intouchables ,Comedy,"1h 52min",Biography,8.5,https://www.imdb.com/title/tt1675434/
