name,current_price,24hrs
Bitcoin,"$36,300.30","1,35%"
Ethereum,"$1,231.25","0,83%"
Tether,$1.00,"0,01%"
Polkadot,$16.70,"-0,61%"
XRP,$0.2827,"1,05%"
Cardano,$0.3680,"-0,97%"
Litecoin,$149.29,"0,35%"
Bitcoin Cash,$490.41,"0,42%"
Chainlink,$21.91,"1,90%"
Stellar,$0.2989,"-0,02%"
Binance Coin,$44.80,"0,30%"
USD Coin,$1.00,"0,01%"
Wrapped Bitcoin,"$36,296.87","1,12%"
Bitcoin SV,$204.50,"-0,06%"
Monero,$155.00,"0,84%"
EOS,$2.79,"0,84%"
Uniswap,$9.19,"0,57%"
Tezos,$3.04,"-0,30%"
Aave,$187.40,"1,67%"
TRON,$0.03163,"2,00%"
NEM,$0.2288,"1,35%"
Cosmos,$9.72,"3,54%"
THETA,$2.01,"0,29%"
Neo,$27.67,"-0,78%"
VeChain,$0.03020,"1,77%"
Crypto.com Coin,$0.08478,"7,30%"
Synthetix,$15.17,"0,11%"
Maker,"$1,413.01","0,39%"
Dai,$1.00,"0,01%"
UNUS SED LEO,$1.33,"-0,01%"
IOTA,$0.4741,"-0,65%"
Dash,$130.17,"1,22%"
Dogecoin,$0.009171,"0,37%"
Binance USD,$0.9999,"-0,01%"
Zcash,$103.80,"0,24%"
yearn.finance,"$37,487.10","1,14%"
Huobi Token,$5.73,"-0,25%"
Celsius,$4.59,"-0,77%"
Filecoin,$23.68,"-0,70%"
Compound,$227.22,"0,68%"
Avalanche,$13.03,"-1,91%"
Solana,$3.82,"-2,35%"
Revain,$0.01169,"0,06%"
Kusama,$117.17,"0,83%"
FTX Token,$10.49,"1,91%"
SushiSwap,$7.29,"0,66%"
Ethereum Classic,$7.60,"0,06%"
Zilliqa,$0.08092,"2,64%"
Waves,$7.49,"0,26%"
The Graph,$0.6069,"-2,50%"
HedgeTrade,$2.03,"14,42%"
Decred,$55.24,"0,15%"
Algorand,$0.5596,"1,16%"
Elrond,$39.49,"0,46%"
UMA,$11.08,"2,06%"
Ontology,$0.7179,"1,36%"
OMG Network,$4.01,"0,42%"
Ren,$0.5760,"0,60%"
Loopring,$0.4102,"1,49%"
Nano,$3.64,"1,32%"
renBTC,"$36,260.30","1,17%"
